item_id,order_id,product_id,quantity,unit_price,total_price,return_requested,warehouse_location
ITEM00000001,ORD0000001,PROD00419,5,8476.2,42381.0,No,HYD
ITEM00000002,ORD0000001,PROD00951,10,74767.52,,No,Delhi WH
ITEM00000003,ORD0000001,PROD01914,9,59509.05,535581.45,No,Chennai WH
ITEM00000004,ORD0000002,PROD96933,2,2507.78,5015.56,No,HYD
ITEM00000005,ORD0000002,PROD00758,8,31496.82,251974.56,No,Bangalore WH
ITEM00000006,ORD0000003,PROD01695,9,57701.85,519316.65,No,Hyderabad WH
ITEM00000007,ORD0000003,PROD00264,1,48846.84,48846.84,1,Hyderabad WH
ITEM00000008,ORD0000003,PROD01666,5,40399.6,201998.0,No,Mumbai WH
ITEM00000009,ORD0000003,PROD00929,1,59982.42,59982.42,,
ITEM00000010,ORD0000004,PROD01593,6,22438.5,134631.0,Yes,Mumbai WH
ITEM00000011,ORD0000004,PROD00967,7,37106.59,259746.13,No,Mumbai WH
ITEM00000012,ORD0000004,PROD01175,7,23183.98,162287.86,No,NA
ITEM00000013,ORD0000004,PROD00750,-1,58002.18,406015.26,No,Chennai WH
ITEM00000014,ORD0000004,PROD00848,,52888.63,528886.3,Yes,Hyderabad WH
ITEM00000015,ORD0000005,PROD00572,1,14239.74,14239.74,0,Bangalore WH
ITEM00000016,ORD0000005,PROD00869,1,65280.23,65280.23,No,Bangalore WH
ITEM00000017,ORD0000005,PROD01889,7,48861.88,342033.16,no,BLR
ITEM00000018,ORD0000005,PROD00286,3,63875.82,191627.46,No,mumbai wh
ITEM00000019,ORD0000005,PROD00420,9,39768.61,357917.49,No,
ITEM00000020,ORD0000006,PROD00626,3,5941.85,17825.55,No,mumbai wh
ITEM00000021,ORD0000006,PROD01642,6,9999999,220493.22,No,NA
ITEM00000022,ORD0000006,PROD01472,7,6501.62,45511.34,,DELHI WH
ITEM00000023,ORD0000007,PROD01020,10,66689.85,666898.5,No,BLR
ITEM00000024,ORD0000007,PROD00157,10,9999999,697380.0,No,Mumbai WH
ITEM00000025,ORD0000008,PROD01313,1,4432.24,,0,HYD
ITEM00000026,ORD0000009,PROD00865,3,73960.21,221880.63,No,DELHI WH
ITEM00000027,ORD0000010,PROD00349,10,63252.73,632527.3,No,HYD
ITEM00000028,ORD0000011,PROD00720,1,70248.01,70248.01,No,Bangalore WH
ITEM00000029,ORD0000011,PROD01861,4,38767.23,155068.92,No,DELHI WH
ITEM00000030,ORD0000011,PROD00020,5,4698.19,23490.95,No,Hyderabad WH
ITEM00000031,ORD0000011,PROD01741,3,10440.24,31320.72,Yes,HYD
ITEM00000032,ORD0000011,PROD01999,8,127.07,1016.56,,DELHI WH
