order_id,customer_id,order_date,delivery_date,status,payment_method,total_amount,shipping_charges,discount_applied,city,promo_code
ORD0000001,CUST002198,2025-06-28,2025-07-07,Cancelled,N/A,53975.89,200.97,17425.77,Nagpur,SALE20
ORD0000002,CUST005597,2025-08-17,2025-08-23,Returned,UPI,148969.13,,10360.71,Ahmedabad ,
ORD0000003,CUST006779,2024-08-02,2024-08-13,NA,online,139991.6,447.95,8169.66,Pune,SALE73
ORD0000004,CUST004728,2025-10-31,2025-11-01,returned,,112122.01,483.7,8723.23,BHOPAL,
ORD0000005,CUST007805,2025-01-29,2025-02-05,Processing,,10356.73,235.01,,Delhi,SALE59
ORD0000006,CUST007356,2025-05-23,2025-06-01,,upi,100570.72,325.45,17272.9,lucknow,
ORD0000007,CUST001985,2024-12-25,2024-12-27,delivered,UPI ,45627.01,364.74,13805.8,Indore,
ORD0000008,CUST007917,2024-05-31,2024-06-10,DELIVERED,UPI,7402.89,159.47,2097.63,KOLKATA,SALE83
ORD0000009,CUST001375,2026-01-08,,In Transit,EMI,41254.81,396.67,1029.45,Kolkata,
ORD0000010,CUST007810,2024-12-07,2024-12-10,canceled,EMI,-643.28,39.36,207.2,Ahmedabad,
ORD0000011,CUST99255,10-01-2025,20-01-2025,Delivered,EMI,101673.79,310.2,26211.28,Indore ,
ORD0000012,CUST99735,2026-06-03,2026-06-17,Processing,Cash on Delivery,46187.05,,6861.04,Surat,SALE53
ORD0000013,CUST008823,2025-08-29,2025-09-04,CANCELLED,Net Banking,43400.96,465.35,202.93,Delhi ,
ORD0000014,CUST001323,2025-12-12,2025-12-20,Pending,Wallet,17833.6,415.66,2057.68,DELHI,
ORD0000015,CUST003820,2025-08-07,2025-08-17,SHIPPED,Cod,16240.89,488.39,2395.45,Delhi,SALE56
ORD0000016,CUST006998,2026-03-25,2026-03-29,SHIPPED,EMI,145042.16,-50,,Bangalore,
ORD0000017,CUST004985,2023-07-08,2023-07-14,SHIPPED,UPI ,88491.24,409.85,6522.29,Mumbai,SALE33
ORD0000018,CUST009563,2026-01-27,2026/10/02,NA,UPI,87077.4,164.17,15090.87,Lucknow,
ORD0000019,CUST002645,2023-07-10,2023-07-17,NA,UPI ,87647.21,114.06,,jaipur,
ORD0000020,CUST000503,2024-01-03,,Pending,Card,96210.66,315.39,22802.71,delhi,
ORD0000021,CUST007657,,,SHIPPED,Credit Card,127021.06,225.22,43436.59,Ahmedabad,SALE80
ORD0000022,CUST006401,,,NA,UPI,39821.47,416.1,8107.45,Mumbai,SALE67
ORD0000023,CUST000310,2025-02-26,2025-03-08,Shipped,Credit Card,85075.87,221.57,17861.78,Hyderabad,
ORD0000024,CUST009317,2025-02-07,2025-02-08,CANCELLED,Cash on Delivery,45423.76,441.93,9596.94,Ahmedabad,
ORD0000025,CUST002995,2025-08-12,2025-08-25,DELIVERED,credit card,99077.69,226.09,25487.37,MUMBAI,SALE25
ORD0000026,CUST004795,2023-12-04,2023-12-19,cancelled,upi,33950.03,442.93,11319.11,Pune,
ORD0000027,CUST009163,2024-06-25,2024-06-27,SHIPPED,online,31570.76,193.29,7862.72,Jaipur,
ORD0000028,CUST002070,2023-07-19,2023-07-24,shipped,Card,65428.21,59.68,2218.17,mumbai,SALE41
ORD0000029,CUST007840,2025-08-02,2025-08-03,returned,credit card,9999999,404.06,1115.51,NAGPUR,
ORD0000030,CUST002654,2023-06-24,09-07-2023,Processing,Debit Card,67898.79,359.57,,Patna,SALE79
ORD0000031,CUST002084,2025-03-22,2025-03-29,Pending,credit card,32592.58,183.37,7882.76,,SALE12
ORD0000032,CUST007713,2024-03-15,2024-03-30,,Cash on Delivery,99156.6,468.88,33576.25,Hyderabad,SALE74
ORD0000033,CUST007656,2023-12-03,2023-12-07,In Transit,Net Banking,127585.95,343.29,,Kolkata,SALE21
ORD0000034,CUST008497,2024-01-31,2024-02-08,NA,EMI,69020.5,259.0,20336.49,Kolkata,
ORD0000035,CUST007395,,,In Transit,Debit Card,148535.42,116.3,, Chennai,
ORD0000036,CUST005159,2023-06-11,2023-06-20,CANCELLED,UPI,106024.88,369.04,12952.83,Mumbai,
ORD0000037,CUST007967,31-08-2025,,DELIVERED,Wallet,-106513.84,455.01,34768.59,Surat,
ORD0000038,CUST008268,2023-12-05,2023-12-15,Shipped,Wallet,-55257.22,451.83,5011.02,Kolkata,
ORD0000039,CUST007577,23-01-2024,2024-01-30,Returned,Card,98480.62,11.03,32732.62,patna,
ORD0000040,CUST001486,01/02/2026,2026-02-16,Processing,Credit Card,28802.04,201.28,7551.43,AHMEDABAD,
ORD0000041,CUST008217,2024-07-08,2024-07-13,DELIVERED,Wallet,64763.45,243.35,,Ahmedabad ,
ORD0000042,CUST000305,2024-09-14,2024-09-23,Returned,Cash on Delivery,86636.14,183.43,13865.17,Nagpur,SALE58
ORD0000043,CUST005558,14-02-2026,2026-02-28,returned,EMI,0,347.03,5991.85,HYDERABAD,
ORD0000044,CUST004680,2024-05-24,,Pending,COD,68295.36,9999,15558.31,Ahmedabad,
ORD0000045,CUST001510,2023-06-21,2023-06-26,Pending,Cash on Delivery,124688.77,107.89,11745.47,Surat,
ORD0000046,CUST000201,2025-11-13,2025-11-19,DELIVERED,Net Banking,122630.16,170.47,33262.12,Bhopal,SALE97
ORD0000047,CUST007773,2024-03-25,2024-03-29,canceled,N/A,,18.76,27308.13,Mumbai,
ORD0000048,CUST009547,2025-02-04,2025-02-05,Shipped,Wallet,101642.25,324.73,30326.57,Indore,
ORD0000049,CUST002605,2024-07-07,2024-07-18,CANCELLED,Wallet,147902.1,364.66,37181.48,Delhi,
ORD0000050,CUST005279,2026-05-03,12-05-2026,shipped,Credit Card,9626.28,9999,1688.35,Hyderabad ,SALE57
ORD0000051,CUST003768,12/09/2025,2025-09-17,delivered,COD,25356.7,215.84,1026.01,Surat,
ORD0000052,CUST007432,2026-03-02,09-03-2026,DELIVERED,Card,108461.06,189.12,41844.84,Chennai,
ORD0000053,CUST000318,2023-06-22,2023-06-23,Pending,Cash on Delivery,53099.48,148.97,13876.85,Bangalore,
ORD0000054,CUST002976,2025-07-05,2025-07-09,Returned,Cod,33808.99,490.64,12267.64,Bhopal ,
ORD0000055,CUST008423,2023-12-30,2024-01-11,Shipped,credit card,63236.65,53.83,24368.14,Surat,
ORD0000056,CUST99985,2023/22/06,2023-07-03,In Transit,Cash on Delivery,146759.33,203.15,41989.98,Surat,SALE66
ORD0000057,CUST006266,2024-10-29,2024-11-03,canceled,Net Banking,135756.72,301.31,16350.78,Bangalore,
ORD0000058,CUST007221,2024-06-17,2024/26/06,cancelled,,131229.4,342.29,40481.64,SURAT,SALE06
ORD0000059,CUST006218,2024-11-19,2024-11-22,,Net Banking,82613.72,172.36,8224.9,Chennai,
ORD0000060,CUST99184,2024-05-15,23-05-2024,DELIVERED,upi,65983.55,329.31,22973.85,Surat,SALE22
ORD0000061,CUST000768,,16-06-2025,delivered,Cod,90506.95,253.89,15269.62,jaipur,
ORD0000062,CUST009680,2023-11-02,2023-11-15,NA,Net Banking,14521.84,140.13,3105.66,Lucknow,
ORD0000063,CUST004796,2025-02-05,2025/15/02,,N/A,-149917.52,69.11,,Jaipur,
ORD0000064,CUST004285,2025-11-26,2025-12-05,shipped,Cash on Delivery,56247.06,164.11,12212.4,Mumbai ,SALE68
ORD0000065,CUST000247,28-11-2023,2023-12-01,DELIVERED,Debit Card,70417.37,3.33,14146.5,Jaipur,SALE05
ORD0000066,CUST005741,2026/29/03,10/04/2026,returned,Wallet,146534.02,468.78,,NAGPUR,
ORD0000067,CUST008363,,2024-07-21,cancelled,UPI ,2729.59,401.65,943.22,Chennai,
ORD0000068,CUST002143,2026-03-19,2026-03-27,,Cash on Delivery,92089.83,48.48,28391.54,MUMBAI,
ORD0000069,CUST007918,,2025-07-12,Shipped,UPI ,7765.57,,672.15,NAGPUR,
ORD0000070,CUST007215,01/11/2025,2025-11-09,,,78564.22,14.35,29957.08,INDORE,
ORD0000071,CUST001973,2025-01-12,2025-01-20,Returned,Debit Card,3287.19,419.88,41.91,Jaipur,
ORD0000072,CUST004343,2024-12-22,2025-01-02,returned,UPI ,126233.33,124.46,2370.5,,SALE20
ORD0000073,CUST007440,11/07/2024,2024-07-13,Processing,Credit Card,90137.39,130.65,,Delhi,SALE09
ORD0000074,CUST002291,2023-09-28,2023-09-29,canceled,credit card,28124.05,329.04,9650.93,Mumbai ,
ORD0000075,CUST007188,,2025-10-08,Shipped,Wallet,43819.22,190.5,3876.44,,
ORD0000076,CUST005428,2025-10-23,2025-10-28,NA,Debit Card,122847.66,158.78,,Hyderabad,
ORD0000077,CUST004822,2026-05-16,2026-05-26,cancelled,EMI,-10378.25,262.73,4003.25,SURAT,
ORD0000078,CUST99045,03-09-2025,2025-09-08,CANCELLED,UPI ,19478.48,125.13,1626.38,Lucknow,
ORD0000079,CUST009053,2025-06-11,2025-06-15,NA,N/A,75929.96,206.82,,Bangalore,SALE97
ORD0000080,CUST007701,,2025-01-07,Shipped,Net Banking,111651.26,66.73,21095.73,JAIPUR,
ORD0000081,CUST005682,2023-08-03,2023-08-08,returned,online,-72707.48,-50,6175.55, Pune,
ORD0000082,CUST007761,2025-05-06,2025-05-19,Processing,UPI,-128000.27,79.07,8872.18,INDORE,
ORD0000083,CUST000071,2026/03/01,2026-01-14,Shipped,Cod,75905.12,491.63,24893.6,SURAT,
ORD0000084,CUST001089,2024-04-24,2024-05-04,cancelled,Net Banking,26774.16,412.25,506.12,Patna,
ORD0000085,CUST004179,2025-05-13,2025-05-23,NA,UPI ,84106.15,226.82,,INDORE,
ORD0000086,CUST007425,2023-11-20,2023-12-04,returned,Credit Card,78004.05,235.04,14373.57,KOLKATA,SALE64
ORD0000087,CUST008139,2025-04-25,2025/01/05,shipped,Wallet,5138.0,79.31,1043.15,Chennai,
ORD0000088,CUST007907,2025-04-17,2025-05-02,Pending,Credit Card,96161.4,147.85,,Jaipur,
ORD0000089,CUST004641,2024-02-21,2024-02-29,Processing,credit card,133384.65,400.2,30627.1,KOLKATA,SALE88
ORD0000090,CUST008539,2025-10-06,2025-10-09,In Transit,COD,136692.34,279.51,54251.41,Hyderabad,
ORD0000091,CUST99942,,2025-08-05,canceled,,-74785.08,32.26,15595.81,Lucknow,SALE76
ORD0000092,CUST004194,2026-05-20,24-05-2026,Processing,EMI,140634.38,9999,45081.79,Indore,
ORD0000093,CUST008946,09-04-2025,,Delivered,Debit Card,142378.98,307.99,18959.89,DELHI,SALE38
ORD0000094,CUST003022,2023-09-04,2023-09-13,cancelled,Debit Card,114255.1,216.61,26895.22,Nagpur,
ORD0000095,CUST99425,2023-12-08,2023-12-15,Shipped,online,145584.32,15.86,31038.6,Jaipur,
ORD0000096,CUST006385,16/12/2023,2023-12-30,shipped,Credit Card,,461.86,16501.01,Patna,
ORD0000097,CUST007413,2024-06-17,2024-07-02,cancelled,,91448.05,402.04,7736.23,LUCKNOW,SALE19
ORD0000098,CUST008466,2025-06-01,2025-06-05,Processing,Cod,39324.91,103.72,9743.07,Jaipur,SALE89
ORD0000099,CUST006623,2024-01-21,23-01-2024,,credit card,123114.54,282.0,35026.39,Jaipur,
ORD0000100,CUST004311,2024-05-02,2024-05-15,,online,117179.96,295.2,24555.77,Pune,SALE35
ORD0000101,CUST009297,2025-04-25,2025-05-04,CANCELLED,Net Banking,32253.89,205.76,1892.35,Surat,
ORD0000102,CUST003275,2025-07-11,2025-07-14,returned,N/A,29469.07,262.74,4414.59,Nagpur,
ORD0000103,CUST001443,2024-04-04,2024-04-09,Shipped,UPI,121505.87,,2482.39,HYDERABAD,
ORD0000104,CUST002918,03-04-2024,2024-04-18,Returned,Net Banking,56822.99,397.7,12394.91,Mumbai,SALE89
ORD0000105,CUST005756,2024-12-24,2024-12-29,Shipped,Cash on Delivery,31183.88,433.38,3960.63,Pune,
