product_id,product_name,category,sub_category,brand,price,discount_percent,stock_quantity,rating,is_available
PROD00001,ITC Toor Dal,grocery,,ITC,10323.3,20,153,1.0,No
PROD00002,,Electronics,Smartwatch,Mi,16872.55,12,250,2.3,0
PROD00003,Decathlon Resistance Band,Sports,Resistance Band,Decathlon,16245.92,42,136,2.9,Yes
PROD00004,OnePlus Keyboard,Electronics,Keyboard,,55617.19,58,-5,3.7,0
PROD00005,Cosco Cycling Gloves,Sports,Cycling Gloves,Cosco,79755.08,32,213,0,Out of Stock
PROD00006,S.Chand Atlas,Books,Atlas,S.Chand,2048.18,33,172,3.0,No
PROD00007,Samsung Smartwatch,Electronics,Smartwatch,Samsung,54684.55,30,373,3.6,No
PROD00008,Oxford Novel,,Novel,,20740.18,59,246,1.5,0
PROD00009,Cello Knife Set,Home & Kitchen,Knife Set,Cello,-50044.19,18,,2.5,
PROD00010,MRF Water Jug,Sports,Water Jug,MRF,66952.87,11,252,4.2,No
PROD00011,Puma Leggings,Fashion,Leggings,Puma,74737.76,37,336,1.2,No
PROD00012,Zara Dupatta,Fashion,Dupatta,Zara,50056.66,30,221,4.9,Out of Stock
PROD00013,Prestige Mop,Home & Kitchen,Mop,Prestige,-20631.21,13,198,3.1,0
PROD00014,Pigeon Water Bottle,Home & Kitchen,Water Bottle,Pigeon,35016.99,21,38,4.3,No
PROD00015,Realme Mouse,Electronics,Mouse,Realme,77188.44,51,15,1.5,Yes
PROD00016,Realme Smartwatch,Electronics,Smartwatch,Realme,57373.05,150,176,3.9,No
PROD00017,Burnish Skipping Rope,Sports,Skipping Rope,Burnish,74783.85,58,466,1.4,No
PROD00018,Garnier Moisturizer,Beauty,Moisturizer,Garnier,54494.97,,70,1.4,Yes
PROD00019,,,Lipstick,L'Oreal,28673.67,13,,3.1,No
PROD00020,Orient Biography,Books,Biography,Orient,62769.91,56,260,1.6,0
PROD00021,,HOME & KITCHEN,Knife Set,Milton,8663.72,48,177,4.4,No
PROD00022,Decathlon Yoga Mat,Sports,Yoga Mat,,48320.43,21,209,4.0,No
PROD00023,Dove Moisturizer,beauty,Moisturizer,Dove,44469.77,0,470,3.6,No
PROD00024,HP Power Bank,Electronics,Power Bank,HP,62362.94,3,148,0,No
PROD00025,Patanjali Salt,Grocery,Salt,Patanjali,23379.71,57,334,3.7,Yes
PROD00026,Vector X Knee Cap,Sports,Knee Cap,Vector X,38890.74,26,138,1.8,Available
PROD00027,Haldiram Saffola Oil,grocery,,,502.96,34,99999,3.7,
PROD00028,Yonex Water Jug,Sports,Water Jug,Yonex,-53424.99,35,173,0,Yes
PROD00029,Dabur Basmati Rice,GROCERY,Basmati Rice,Dabur,69533.87,32,212,-1,Yes
PROD00030,boAt Tablet,ELECTRONICS,Tablet,boAt,14675.32,3,311,2.0,Yes
PROD00031,Prestige Pillow,Home & Kitchen,Pillow,Prestige,29350.64,43,73,1.2,No
PROD00032,Penguin Self Help Book,Books,Self Help Book,,64393.72,150,141,4.1,No
PROD00033,S.Chand Textbook,Books,Textbook,,29405.29,52,498,4.6,No
PROD00034,Lenovo Tablet,Electronics,Tablet,Lenovo,2101.4,28,455,-1,No
PROD00035,Patanjali Atta,Grocery,Atta,Patanjali,29085.28,26,236,2.8,
PROD00036,Dove Shampoo,Beauty,Shampoo,Dove,78680.13,,189,6.5,No
PROD00037,Hawkins Knife Set,Home & Kitchen,Knife Set,Hawkins,13960.45,24,268,1.4,Yes
PROD00038,Cello Pillow,Home & Kitchen,Pillow,Cello,42401.92,53,86,1.2,No
PROD00039,Samsung Tablet,Electronics,Tablet,Samsung,0,59,112,1.4,0
PROD00040,Zara Saree,Fashion,Saree,Zara,61250.32,4,386,2.5,No
PROD00041,Nykaa Toner,Beauty,Toner,Nykaa,47991.73,150,266,2.0,Yes
PROD00042,HarperCollins Atlas,BOOKS,Atlas,HarperCollins,68797.66,16,241,4.3,No
PROD00043,Vector X Skipping Rope,Sports,Skipping Rope,Vector X,27669.36,42,172,3.8,Yes
PROD00044,Orient Self Help Book,Books,Self Help Book,Orient,66021.08,2,417,1.3,Yes
PROD00045,Arihant Journal,Books,Journal,Arihant,36315.89,35,,4.2,Yes
PROD00046,Libas Kurta,Fashion,Kurta,Libas,44464.73,32,25,1.1,No
PROD00047,Borosil Pillow,Home & Kitchen,Pillow,Borosil,53727.98,38,303,3.8,No
PROD00048,Biba Leggings,Fashion,Leggings,Biba,18731.21,6,284,4.0,No
PROD00049,Patanjali Saffola Oil,Grocery,Saffola Oil,Patanjali,,23,99999,3.9,No
PROD00050,Vector X Resistance Band,Sports,Resistance Band,Vector X,53994.44,8,7,2.5,No
PROD00051,OnePlus Speaker,Electronics,Speaker,OnePlus,27905.98,22,500,1.9,No
PROD00052,Cosco Cricket Bat,SPORTS,Cricket Bat,Cosco,23406.65,-10,66,2.7,No
PROD00053,OnePlus Smartphone,Electronics,Smartphone,OnePlus,51964.64,16,166,4.6,No
PROD00054,boAt Keyboard,Electronics,Keyboard,boAt,72560.18,-10,364,4.3,
PROD00055,Dabur Amul Butter,Grocery,Amul Butter,Dabur,16380.12,22,26,4.6,No
PROD00056,Fingerprint Dictionary,Books,Dictionary,Fingerprint,20436.01,45,232,3.3,1
PROD00057,Orient Comic,Books,,Orient,28308.57,25,249,4.1,Out of Stock
PROD00058,Biotique Shampoo,Beauty,,Biotique,3975.88,,457,1.2,No
PROD00059,,Beauty,Toner,,18440.2,31,172,4.4,No
PROD00060,Decathlon Skipping Rope,Sports,Skipping Rope,Decathlon,72741.69,53,387,5.0,Yes
PROD00061,ITC Amul Butter,Grocery,Amul Butter,ITC,44071.66,60,126,2.2,No
PROD00062,Lakmé Lipstick,Beauty,Lipstick,Lakmé,55026.51,17,258,4.4,No
PROD00063,Arihant Self Help Book,Books,,Arihant,41153.75,60,442,4.3,No
PROD00064,Oxford Workbook,Books,Workbook,Oxford,20147.67,10,397,1.3,Yes
PROD00065,Cosco Dumbbells,Sports,,Cosco,71055.83,45,262,3.7,0
PROD00066,Borosil Curtain,Home & Kitchen,Curtain,Borosil,26826.46,22,97,1.8,0
PROD00067,MDH Toor Dal,Grocery,Toor Dal,MDH,30126.16,31,468,,No
PROD00068,Garnier Moisturizer,,Moisturizer,Garnier,68915.82,28,335,2.8,No
PROD00069,Lenovo Smartphone,Electronics,,Lenovo,-22435.18,51,362,2.0,yes
PROD00070,Orient Mop,Home & Kitchen,Mop,Orient,28119.39,14,239,2.3,Yes
PROD00071,Cosco Skipping Rope,Sports,Skipping Rope,Cosco,79713.04,39,341,1.1,No
PROD00072,Puma Belt,fashion,Belt,Puma,27770.83,15,289,2.0,Out of Stock
PROD00073,,Beauty,Moisturizer,,72063.3,4,349,6.5,No
PROD00074,L'Oreal Shampoo,Beauty,Shampoo,L'Oreal,34710.1,150,19,1.6,Yes
PROD00075,Reebok Yoga Mat,Sports,,Reebok,71692.72,-10,324,,No
PROD00076,Dabur Salt,Grocery,Salt,Dabur,20214.28,50,312,1.5,No
PROD00077,Milton Mixer Grinder,Home & Kitchen,Mixer Grinder,Milton,73526.6,18,3,,yes
PROD00078,S.Chand Biography,Books,Biography,S.Chand,29394.53,150,429,4.7,Yes
PROD00079,Britannia Saffola Oil,Grocery,Saffola Oil,Britannia,53858.4,50,226,1.9,Yes
PROD00080,Nike Belt,Fashion,Belt,Nike,1634.88,-10,438,4.7,Yes
PROD00081,Biotique Hair Oil,Beauty,Hair Oil,Biotique,61944.71,52,124,3.0,Yes
PROD00082,Dove Lipstick,Beauty,Lipstick,Dove,79727.13,57,350,2.4,Yes
PROD00083,,Electronics,Power Bank,Lenovo,70393.82,2,205,4.2,yes
PROD00084,,Home & Kitchen,Bed Sheet,Prestige,15570.81,150,331,3.4,Yes
PROD00085,Realme Tablet,Electronics,Tablet,Realme,56968.77,9,212,4.8,Yes
PROD00086,JBL Keyboard,Electronics,Keyboard,JBL,58714.65,60,463,,1
PROD00087,Nivia Water Jug,Sports,Water Jug,Nivia,8029.3,26,433,4.5,No
PROD00088,HP Mouse,Electronics,Mouse,HP,32317.74,59,177,4.7,Yes
PROD00089,Disha Biography,Books,,Disha,71380.09,19,164,0,No
PROD00090,Garnier Shampoo,Beauty,Shampoo,Garnier,65241.99,8,390,3.2,Yes
PROD00091,Cosco Yoga Mat,Sports,,Cosco,26330.95,59,-5,1.6,No
PROD00092,Yonex Football,Sports,,Yonex,3562.2,53,,4.7,
PROD00093,ITC Toor Dal,Grocery,Toor Dal,,75667.19,60,133,2.6,No
PROD00094,Orient Textbook,books,Textbook,Orient,67161.13,28,25,4.9,No
PROD00095,OnePlus Speaker,ELECTRONICS,Speaker,OnePlus,63929.76,46,126,3.9,Yes
PROD00096,,Sports,Football,Yonex,78863.78,15,9,4.8,No
PROD00097,Aashirvaad Biscuits,Grocery,Biscuits,Aashirvaad,6107.51,25,53,3.5,Yes
PROD00098,Nestle Biscuits,Grocery,Biscuits,Nestle,16039.55,11,285,2.3,No
PROD00099,L'Oreal Face Wash,Beauty,Face Wash,L'Oreal,4079.4,43,337,,Yes
PROD00100,OnePlus Tablet,ELECTRONICS,Tablet,,21358.49,150,225,2.1,Yes
PROD00101,Rupa Journal,Books,Journal,Rupa,2735.49,20,321,4.0,Yes
PROD00102,Adidas Knee Cap,Sports,Knee Cap,Adidas,65774.71,53,493,1.9,Yes
PROD00103,S.Chand Cookbook,Books,Cookbook,S.Chand,64623.99,46,149,4.9,No
PROD00104,L'Oreal Sunscreen,Beauty,Sunscreen,L'Oreal,73980.87,26,392,3.6,Yes
PROD00105,Nivea Toner,BEAUTY,Toner,Nivea,40011.34,33,411,1.2,No
PROD00106,Biotique Foundation,Beauty,Foundation,Biotique,,25,53,3.7,Yes
PROD00107,Nestle Maggi,Grocery,Maggi,Nestle,1190.38,4,357,2.5,Yes
PROD00108,Haldiram Biscuits,Grocery,Biscuits,Haldiram,2526.03,45,270,2.0,Yes
PROD00109,Decathlon Cricket Bat,sports,Cricket Bat,Decathlon,,60,86,1.6,Yes
PROD00110,Lenovo Smartphone,Electronics,Smartphone,Lenovo,78848.42,,281,1.7,Yes
PROD00111,Bajaj Air Fryer,Home & Kitchen,Air Fryer,Bajaj,37041.42,29,398,3.4,yes
PROD00112,JBL Keyboard,Electronics,Keyboard,JBL,27536.04,11,379,1.6,No
PROD00113,Borosil Pressure Cooker,home & kitchen,Pressure Cooker,Borosil,36547.63,56,151,4.7,Yes
PROD00114,Dell Charger,Electronics,Charger,Dell,0,48,177,1.8,Yes
PROD00115,Rupa Self Help Book,Books,Self Help Book,Rupa,33732.64,-10,62,1.2,Yes
PROD00116,Cello Mixer Grinder,HOME & KITCHEN,Mixer Grinder,Cello,76226.31,40,46,2.1,Yes
PROD00117,Vector X Dumbbells,Sports,Dumbbells,Vector X,76363.93,28,434,1.5,Yes
PROD00118,HP Laptop,Electronics,Laptop,HP,9023.3,23,99999,1.4,Yes
PROD00119,Lakmé Moisturizer,Beauty,Moisturizer,Lakmé,-2103.07,2,394,2.3,Yes
PROD00120,Decathlon Badminton Racket,sports,Badminton Racket,Decathlon,8953.86,150,170,2.1,No
PROD00121,Decathlon Water Jug,Sports,Water Jug,Decathlon,57720.19,17,154,,No
PROD00122,WOW Shampoo,Beauty,Shampoo,WOW,66464.23,52,321,4.3,Out of Stock
PROD00123,Decathlon Badminton Racket,Sports,,Decathlon,25347.19,35,-5,-1,Yes
